,title,year,director,genre,country,language,budget,US_box_office,box_office,usr_rating,metacritic
0,The Mattei Affair ,1972.0,Francesco Rosi, Biography,Italy,Italian,,,,7.6,
1,Sibir. Monamur ,2011.0,Vyacheslav Ross, Drama,Russia,Russian,,,115240.0,7.6,
2,Insectula! ,2015.0,Michael Peterson, Comedy,USA,English,,,,4.7,
3,Aknyeo ,2017.0,Byung-gil Jung, Action,South Korea,Korean,,27741.0,8737458.0,6.7,64
4,Dipu Number 2 ,1996.0,Morshedul Islam, Adventure,Bangladesh,Bengali,,,,8.9,
5,Iron Sky ,2012.0,Timo Vuorensola, Action,Finland,English,7500000.0,122082.0,10109659.0,5.9,
6,Le Petit Soldat ,1963.0,Jean-Luc Godard, War,France,French,180000.0,24296.0,24296.0,7.2,97
7,The Time Machine ,1960.0,George Pal, Adventure,USA,English,750000.0,,5902.0,7.6,67
8,1945 ,2017.0,Ferenc Török, Drama,Hungary,Hungarian,1467000.0,1006193.0,1240663.0,7.1,73
9,Defying Gravity ,1997.0,John Keitel, Drama,USA,English,,,,6.6,45
10,That Obscure Object of Desire ,1977.0,Luis Buñuel, Comedy,France,French,,,2864.0,7.9,84
11,Fort Apache the Bronx ,1981.0,Daniel Petrie, Crime,USA,English,,29200000.0,29200000.0,6.7,49
12,The Music Lovers ,1971.0,Ken Russell, Biography,UK,English,1600000.0,,,7.1,
13,Goya's Ghosts ,2006.0,Milos Forman, Biography,USA,English,50000000.0,1000626.0,9448082.0,6.9,52
14,Werckmeister harmoniak ,2000.0,Béla Tarr, Drama,Hungary,Hungarian,10000000.0,25461.0,25461.0,8.2,92
15,Terumae romae ,2012.0,Hideki Takeuchi, Comedy,Japan,Japanese,,,74285251.0,6.4,
16,Every Thing You Always Wanted to Know About Sex * But Were Afraid to Ask ,1972.0,Woody Allen, Comedy,USA,English,2000000.0,18016290.0,18090065.0,6.8,66
17,The Power of One ,1992.0,John G. Avildsen, Drama,Australia,English,,2827107.0,2827107.0,7.2,40
18,Stage Fright ,1950.0,Alfred Hitchcock, Film-Noir,UK,English,1437000.0,,,7.1,
19,,,,,,,,,,,
20,The Adventures of Huck Finn ,1993.0,Stephen Sommers, Adventure,USA,English,6500000.0,24103594.0,24103594.0,6.2,
21,Heist ,2001.0,David Mamet, Action,Canada,English,39000000.0,23510841.0,28510652.0,6.5,66
22,Bhramaram ,2009.0,Blessy, Crime,India,Malayalam,,,,7.4,
23,Berlin Express ,1948.0,Jacques Tourneur, Crime,USA,English,,,,6.8,
24,Dernier domicile connu ,1970.0,José Giovanni, Crime,France,French,,,,7.0,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,Follow the Fleet ,1936.0,Mark Sandrich, Comedy,USA,English,747000.0,,,7.2,
31,LBJ ,2016.0,Rob Reiner, Biography,USA,English,26000000.0,2470979.0,2510151.0,6.5,54
32,Je rentre à la maison ,2001.0,Manoel de Oliveira, Comedy,France,French,18000000.0,140872.0,853526.0,6.9,86
33,Anukshanam ,2014.0,Ram Gopal Varma, Crime,India,Telugu,10000000.0,,,6.5,
34,La chute de l'empire americain ,2018.0,Denys Arcand, Comedy,Canada,French,,2178460.0,4110928.0,6.8,55
35,La noche de los girasoles ,2006.0,Jorge Sánchez-Cabezudo, Crime,Spain,Spanish,,,1609872.0,7.1,
36,Sometimes a Great Notion ,1971.0,Paul Newman, Action,USA,English,3660000.0,,,7.0,
37,The Train Robbers ,1973.0,Burt Kennedy, Action,USA,English,,,,6.5,
38,Unbreakable ,2000.0,M. Night Shyamalan, Drama,USA,English,75000000.0,95011339.0,248118121.0,7.3,62
39,Wuthering Heights ,1939.0,William Wyler, Drama,USA,English,,624643.0,624643.0,7.6,
40,Europa Report ,2013.0,Sebastián Cordero, Drama,USA,English,,125687.0,125687.0,6.4,68
41,SuckSeed: Huay Khan Thep ,2011.0,Chayanop Boonprakob, Comedy,Thailand,Thai,,,2610717.0,7.5,
42,Heavy Weights ,1995.0,Steven Brill, Comedy,USA,English,,17689177.0,17689177.0,6.7,42
43,,,,,,,,,,,
44,The Cell ,2000.0,Tarsem Singh, Horror,USA,English,33000000.0,61334059.0,104155843.0,6.3,40
45,The Dark at the Top of the Stairs ,1960.0,Delbert Mann, Drama,USA,English,,,,7.0,
46,Joven y alocada ,2012.0,Marialy Rivas, Comedy,Chile,Spanish,,5514.0,212624.0,6.1,
47,Harma ,2012.0,Jukka-Pekka Siili, Drama,Finland,Finnish,1670000.0,,1721942.0,6.2,
48,Roar ,1981.0,Noel Marshall, Adventure,USA,English,17000000.0,110048.0,110048.0,6.2,65
49,The Lady Vanishes ,1938.0,Alfred Hitchcock, Mystery,UK,English,,,39776.0,7.8,
50,The Letter ,1940.0,William Wyler, Crime,USA,English,,,16455.0,7.6,
51,The Fluffy Movie: Unity Through Laughter ,2014.0,Manny Rodriguez, Documentary,USA,English,,2827393.0,2827393.0,7.3,56
52,I Am a Hero ,2015.0,Shinsuke Sato, Action,Japan,Japanese,,,13770528.0,6.8,
53,,,,,,,,,,,
54,Gransen ,2011.0,Richard Holm, Action,Sweden,Swedish,,,240761.0,6.3,
55,Days of Being Wild ,1990.0,Kar-Wai Wong, Crime,Hong Kong,Cantonese,,146310.0,3101890.0,7.6,96
56,Densha otoko ,2005.0,Shôsuke Murakami, Comedy,Japan,Japanese,,,31090100.0,6.6,60
57,Agora ,2009.0,Alejandro Amenábar, Adventure,Spain,English,70000000.0,619423.0,39457342.0,7.2,55
58,Buffalo Bill ,1944.0,William A. Wellman, Biography,USA,English,,,,6.4,
59,The American Soldier ,1970.0,Rainer Werner Fassbinder, Drama,West Germany,German,280000.0,8144.0,8144.0,6.7,
60,The Night Before Christmas ,1961.0,Aleksandr Rou, Comedy,Soviet Union,Russian,,,,7.7,
61,The Italian Connection ,1972.0,Fernando Di Leo, Action,Italy,Italian,,,,7.1,
62,Ivansxtc ,2000.0,Bernard Rose, Drama,UK,English,,47027.0,47027.0,6.4,67
63,Le monde est à toi ,2018.0,Romain Gavras, Comedy,France,French,,,2747894.0,6.4,73
64,The Contender ,2000.0,Rod Lurie, Drama,USA,English,20000000.0,17872723.0,22428990.0,6.9,59
65,,,,,,,,,,,
66,Humpty Sharma Ki Dulhania ,2014.0,Shashank Khaitan, Comedy,India,Hindi,,380011.0,13669988.0,6.0,
67,The Devil's Own ,1997.0,Alan J. Pakula, Action,USA,English,90000000.0,42868348.0,140807547.0,6.2,53
68,5th Ave Girl ,1939.0,Gregory La Cava, Comedy,USA,English,607000.0,,9636.0,6.8,
69,Win It All ,2017.0,Joe Swanberg, Comedy,USA,English,,,,6.2,77
70,The Occupant ,2020.0,David Pastor, Adventure,Spain,Spanish,,,1845.0,6.3,
71,,,,,,,,,,,
72,Tangled ,2010.0,Nathan Greno, Animation,USA,English,260000000.0,200821936.0,592461732.0,7.7,71
73,,,,,,,,,,,
74,Branded to Kill ,1967.0,Seijun Suzuki, Action,Japan,Japanese,,,,7.4,
75,,,,,,,,,,,
76,Love for Sale ,2006.0,Karim Aïnouz, Drama,Brazil,Portuguese,,13703.0,13703.0,7.2,62
77,Joong-cheon ,2006.0,Dong-oh Jo, Action,South Korea,Korean,,,9026898.0,6.3,
78,Grizzly Man ,2005.0,Werner Herzog, Documentary,USA,English,,3178403.0,4064179.0,7.8,87
